"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message";"id";"created_time";"from.name";"from.id";"status_type"
"1";"46";"1";"142802334452_10161454374989453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"Via F&B Report";"142802334452_10161454374989453";"2021-06-28T09:32:20+0000";"INQUIRER.net";"142802334452";"mobile_status_update"
"1";"47";"1";"142802334452_10161454335499453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"“Hindi ko na po alam kung bakit. It could be because it’s pandemic and we’re trying to limit the numbers and of course the presence of the President would encourage crowds,” presidential spokesperson Harry Roque said. https://inq.news/overcrowding";"142802334452_10161454335499453";"2021-06-28T09:05:41+0000";"INQUIRER.net";"142802334452";"added_photos"
"1";"48";"1";"142802334452_10161454333219453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"Taiwan has been battling a rare spike in community transmissions after months of relative safety, with curbs imposed last month on gatherings to limit its spread.";"142802334452_10161454333219453";"2021-06-28T09:03:15+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"49";"1";"142802334452_10161454331039453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"A father was able to do proper chest compressions to save his daughter's life because of a first-aid technique shown in “The Office"", where the characters were taught to perform CPR to the rhythm of the Bee Gees song “Stayin’ Alive.”";"142802334452_10161454331039453";"2021-06-28T09:00:39+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"50";"1";"142802334452_10161454327364453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"Government soldiers recovered a cache of firearms reportedly owned by the New People’s Army in Gen. MacArthur town, Eastern Samar.";"142802334452_10161454327364453";"2021-06-28T08:56:51+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"51";"1";"142802334452_10161454321389453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"Health is primary.  This was the gist of a statement made by the Department of Transportation in reply to a complaint, made by a social media user who doesn’t want to be identified, over hassles in getting out of the airport.";"142802334452_10161454321389453";"2021-06-28T08:50:36+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"52";"1";"142802334452_10161454317699453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"Via Bandera";"142802334452_10161454317699453";"2021-06-28T08:45:56+0000";"INQUIRER.net";"142802334452";"mobile_status_update"
"1";"53";"1";"142802334452_10161454279929453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"President Rodrigo Duterte may be “open to the idea” of arming civilians to help law enforcers fight crime but this is not yet a government policy, Malacañang explained.";"142802334452_10161454279929453";"2021-06-28T08:16:12+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"54";"1";"142802334452";"offcut";"";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"";"";"";"";"";""
"1";"55";"1";"142802334452";"headers";"";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"";"";"";"";"";""
"1";"56";"1";"142802334452_10161454262499453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:32.147603";"Facebook:/<page-id>/posts";"";"As life gradually returns to normal in Europe, there has been a resurgence of deadly violence against women as abusers experience a “loss of the control” they enjoyed throughout the coronavirus lockdowns.";"142802334452_10161454262499453";"2021-06-28T08:04:03+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"57";"1";"142802334452_10161454255464453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:32.147603";"Facebook:/<page-id>/posts";"";"Atlanta Hawks star Trae Young is headed for an MRI on his sprained right ankle.";"142802334452_10161454255464453";"2021-06-28T07:58:28+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"58";"1";"142802334452_10161454231129453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:32.147603";"Facebook:/<page-id>/posts";"";"“Aking pinaaalalahanan ang ating mga pulis na huwag na makigulo pa o makisawsaw sa mundo ng pulitika. Huwag po tayong magpagamit sa mga pulitiko na may hindi magandang agenda dahil sa huli, ikasisira lang natin ito,” Eleazar said. https://inq.news/PNPpolitics";"142802334452_10161454231129453";"2021-06-28T07:35:25+0000";"INQUIRER.net";"142802334452";"added_photos"
"1";"59";"1";"142802334452_10161454204979453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:32.147603";"Facebook:/<page-id>/posts";"";"Jake J. Maderazo: ""​In a recent ANC interview with broadcaster Karen Davila, I was amazed at how Rep. Gomez expounded on the government’s peace program, National Task force to End Local Communist Armed Conflict (NTF-ELCAC), which she says, promotes peace and development of barangays against the only previous alternative of war."" #SharpEdges";"142802334452_10161454204979453";"2021-06-28T07:06:37+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"60";"1";"142802334452_10161454174849453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:32.147603";"Facebook:/<page-id>/posts";"";"Conservationists are saving an old church towering over the La Loma Cemetery.";"142802334452_10161454174849453";"2021-06-28T06:36:02+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"61";"1";"142802334452_10161454143844453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:32.147603";"Facebook:/<page-id>/posts";"";"Via Preen Online";"142802334452_10161454143844453";"2021-06-28T06:12:29+0000";"INQUIRER.net";"142802334452";"mobile_status_update"
"1";"62";"1";"142802334452_10161454124004453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:32.147603";"Facebook:/<page-id>/posts";"";"From pop culture channel InqPOP";"142802334452_10161454124004453";"2021-06-28T05:57:37+0000";"INQUIRER.net";"142802334452";"mobile_status_update"
"1";"63";"1";"142802334452_10161454116574453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:32.147603";"Facebook:/<page-id>/posts";"";"Via Preen Online";"142802334452_10161454116574453";"2021-06-28T05:50:09+0000";"INQUIRER.net";"142802334452";"mobile_status_update"
"1";"64";"1";"142802334452_10161454095564453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:32.147603";"Facebook:/<page-id>/posts";"";"WATCH: PAGHINGI NG ""SAKLOLO"" SA BAKUNA NG LGUs KAY ROBREDO, HINDI PAMUMULITIKA - RODRIGUEZ | CHONA YU  Via Radyo Inquirer On-Line";"142802334452_10161454095564453";"2021-06-28T05:35:11+0000";"INQUIRER.net";"142802334452";"added_video"
"1";"65";"1";"142802334452_10161454092724453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:32.147603";"Facebook:/<page-id>/posts";"";"Via Scoutmagph";"142802334452_10161454092724453";"2021-06-28T05:30:15+0000";"INQUIRER.net";"142802334452";"mobile_status_update"
"1";"66";"1";"142802334452_10161454077754453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:32.147603";"Facebook:/<page-id>/posts";"";"Via Bandera";"142802334452_10161454077754453";"2021-06-28T05:16:02+0000";"INQUIRER.net";"142802334452";"mobile_status_update"
